"Magalieskruin HS",99.92,1.93
"Lammers 1",99.93,1.75
"Casa Salice",99.94,1.5
StanleyPark,98.3,42.3
"La Camarque",99.94,1.5
"Grove Lane",99.94,1.48
"Grootnet Wipronet ",99.96,1.11
"Plotnet 33 Wipronet",99.88,3
"Watertoring Wipronet",99.89,2.75
"MHoog Wipronet",99.8,5.1
"Rooihuiskraal Estate",99.57,10.71
"Farm Inn East HS",99.92,2.11
"Luberon HS",99.93,1.86
"Cullinan HS",99.22,19.57
"Faerie Glen 5",99.89,2.63
"Waterlake Farm",99.94,1.6
Strubenkop,99.89,2.73
"Monument Park",99.65,8.67
"Laudium HS",99.32,17
Maxis,99.6,10
"Rooihuiskraal HS",96.4,89.75
Bronkhorstbaai,99.09,22.75
"Faerie Glen 1",99.93,1.77
SaartjiesNek,99.62,9.5
Baviaanspoort,99.95,1.17
"Brakfontein HS",99.77,5.75
"Murrayfield HS",99.53,11.67
"Vibro Rosslyn HS",99.6,10
"Rayton HS",97.69,57.5
"Pretoria Oos Hospitaal",99.96,1
"Wilgers 3 HS",99.88,3
"Lotus Gardens HS",98.99,25.17
"Bronkhorstspruit HS",99.12,21.88
"Cable View HS",98.47,38
"Farm Inn West HS",99.94,1.56
"Twin City",99.78,5.57
"Ekandastria HS",99.14,21.57
"Roodeplaat Intundla",99.91,2.14
"Refilwe HS",99.38,15.33
"Vibro Sandvlakte",99.84,4
"Faerie Glen 3",99.94,1.5
"Uitsig  HS",99.33,16.73
"Hercules East HS",99.67,8.33
"Faerie Glen 4",99.94,1.6
"Montana HS",99.93,1.83
"Sosh HS-007",97.71,57
"Amberfield HS",99.11,22.18
Kusile,99.27,18.2
"Gomes HS",99.77,5.75
"Mnandi HS",99.75,6.14
Swavelpoort,99.45,13.86
"Wapadrand HS",99.84,4
"Elardus Park HS",99.91,2.17
Vodacom,99.8,5
"Constantia Park HS",99.84,4
"Erasmusrand HS",99.68,7.89
"Temba Mast",99.73,6.71
"Wonderboom Nek HS",99.7,7.5
"Moreleta HS",99.89,2.64
"DerdePoort Waverley",99.8,5
"MenloPark / Lynwood",99.9,2.44
"Carina HS",99.76,6.11
"Heights HS",97.34,66.25
"Urologies HS",99.93,1.86
"French Street HS",99.94,1.57
"Wilgers 2 HS",99.92,2.08
"Trophy Medal Botique",99.94,1.57
"Wilgers 1 HS",99.93,1.7
"Kameelfontein HS",99.94,1.6
"Moloto HS",99.94,1.43
"Wrapsa HS",99.89,2.75
"St Georges HS",99.92,2
"Mooikloof 2",99.57,10.86
"Mooikloof 1",99.83,4.33
"Olympus EXT HS1",99.9,2.43
"Olympus Main HS",99.94,1.5
"Amanda Sig 1",99.41,14.73
"Wonderboom HS",99.74,6.44
"Vibro Laudium HS",99.74,6.5
"Loft Apartments HS",99.73,6.75
"CBD HS",99.76,6.06
"Chamboard HS",99.95,1.36
"GroenKloof KlapperKop",99.42,14.38
"Tulip HS",99.73,6.71
"Rykor HS",99.83,4.33
"Aspin HS",99.72,7
"Polaris HS",99.83,4.38
"Lyttelton HS",99.65,8.86
"Pieter Delport Meintjieskop",99.83,4.15
"Lammers 4",99.93,1.68
"Faerie Glen 2 (Koedoesnek)",99.84,4.1
"Lammers 3",99.91,2.15
"Lammers 2",99.9,2.4
Amsterdam,94.73,79.41
Balboa,98.5,37.24
Greenstone,99.74,6.45
Unknown,99.91,2.25
Bronbergcastle,99.92,1.96
"Witpoort Wipronet",99.93,1.8
"Laeveld HS",99.85,3.8
"Esteq Wipronet",99.94,1.4
"King's highway Wipronet ",99.9,2.5
"Edelweis Wipronet",99.87,3.33
"NG Kerk Wipronet",99.92,2
"Roodeplaat Wipronet",99.76,6
"Plotnet 51 (Riaan Tailor) Wipronet",99.92,2
"Morelleta Wipronet ",99.95,1.33
"Hoek Wipronet ",99.78,5.5
"Sosh HS-005",99.43,14.33
"Sosh HS-001",98.09,47.5
"Ben Goosen Wipronet",99.39,15.33
"Kitty Hawk Wipronet",99.91,2.33
"Salo de Swart (R 21) Wipronet",99.96,1
"Alpha Sand Wipronet",99.95,1.33
"Sosh HS-006",99.66,8.5
"Stinkfinger HS",99.96,1
Babelegi,95.06,123
"Amanda Sig 2",97.79,55
"Muniforum ",96.83,79
"Sosh HS-002",98.07,48
"Sosh HS-003",99.48,13
"ATTR HS-002",86.39,339
"ATTR HS-001",98.59,35
"Mamelodi CC",98.39,40
"Mame HS-001",97.97,50.5
"Church Square",99.69,7.67
"Sosh HS-010",99.94,1.5
"Sosh HS-008",98.23,44
"Sosh HS-011",99.12,22
"MOUNTAIN VIEW HS",99.47,13.33
"Boardwalk Heights",99.95,1.24
"Gerhard Straat",99.68,7.89
"Janelda Wipronet ",99.92,2
"Lombardy Estate",99.96,1
"Little Eden Wipronet",99.96,1.08
"Burnett HS",99.92,2
"Bapsfontein Wipronet",99.95,1.25
"Alexandria Mall",92.85,178
"Bronkhorspruit Silos Wipronet ",99.25,18.75
"Rhenosterkop Wipronet ",96.66,83.11
"Hebsiba Wipronet ",97.19,70
"Schanskop Wipronet ",98.54,36.2
"Wapadrand Wipronet ",99.85,3.67
"Waverly Wipronet ",99.84,4
"Klapperkop HS",99.88,3
"Waverley HS",99.88,3
Harties,98.11,47
Teraco,99.85,3.75
"Sosh CC",98.07,48
"Lemon Tree Estate",99.67,8.2
"LGR Wipronet ",99.8,5
LandRover,98.79,30.25
"GreenSands Wipronet",99.88,3
"Delmas (Schoeman) Silos Wipronet",99.93,1.75
"Johan Claasens Wipronet",99.88,3
"Zwavelsnest Wipronet",99.54,11.5
"Van Wyk Silos",99.87,3.25
"Grand Central",99.52,12
"Mooikloof Country Club",99.88,3
Vlakfontein,97.59,60
Kannemeyer,99.25,18.67
"Mame HS-004",98.31,42
"Bultfontein HS",99.33,16.86
"Hoewe HS",99.87,3.33
"Country Mushroom",99.96,1
"Bastille Estate",99.94,1.5
"Sontonga Mall",97.8,54.75
"Heartfelt Arena",99.72,7
"Hannes House",97.63,59
"Olympus Wipronet (Danie de Swart)",99.96,1
"Equestria River Estate",99.96,1
"Windgate HS",99.68,8
